model,samples,epochs,dimension,learning rate,device,training time,dl begin,dl end,train begin,train end
cnn,6000,1,0,0.001,raspberrypi,383.83,0.04,3.93,3.93,388.53
cnn,6000,1,0,0.001,raspberrypi,393.95,389.15,394.77,394.77,789.61
cnn,6000,1,0,0.001,raspberrypi,386.43,790.1,795.73,795.73,1183.05
cnn,6000,1,0,0.001,raspberrypi,386.33,1183.55,1189.12,1189.12,1576.32
cnn,6000,1,0,0.001,raspberrypi,385.6,1577.1,1582.68,1582.68,1969.15
cnn,6000,1,0,0.001,raspberrypi,388.78,1969.69,1975.24,1975.24,2364.92
cnn,6000,1,0,0.001,raspberrypi,394.41,2365.46,2371.1,2371.1,2766.41
cnn,6000,1,0,0.001,raspberrypi,389.38,2767.3,2772.93,2772.93,3163.21
cnn,6000,1,0,0.001,raspberrypi,388.07,3163.43,3169.01,3169.01,3557.96
cnn,6000,1,0,0.001,raspberrypi,396.44,3558.25,3563.86,3563.86,3961.19
cnn,6000,1,0,0.001,raspberrypi,390.53,3961.85,3967.47,3967.47,4358.89
cnn,6000,1,0,0.001,raspberrypi,390.01,4359.25,4364.81,4364.81,4755.7
cnn,6000,1,0,0.001,raspberrypi,391.33,4756.46,4762.06,4762.06,5154.29
cnn,6000,1,0,0.001,raspberrypi,396.15,5155.05,5160.67,5160.67,5557.73
cnn,6000,1,0,0.001,raspberrypi,398.53,5558.59,5564.24,5564.24,5963.68
cnn,6000,1,0,0.001,raspberrypi,394.84,5964.48,5970.16,5970.16,6365.91
cnn,6000,1,0,0.001,raspberrypi,394.73,6366.18,6371.8,6371.8,6767.95
cnn,6000,1,0,0.001,raspberrypi,395.02,6768.4,6774.09,6774.09,7170.02
cnn,6000,1,0,0.001,raspberrypi,394.35,7170.32,7175.99,7175.99,7571.28
cnn,6000,1,0,0.001,raspberrypi,396.19,7571.83,7577.5,7577.5,7974.6
cnn,6000,1,0,0.001,raspberrypi,396.01,7975.41,7981.09,7981.09,8378.01
cnn,6000,1,0,0.001,raspberrypi,400.16,8378.63,8384.29,8384.29,8785.37
cnn,6000,1,0,0.001,raspberrypi,405.88,8786.27,8792.0,8792.0,9198.81
cnn,6000,1,0,0.001,raspberrypi,406.23,9199.71,9205.39,9205.39,9612.54
cnn,6000,1,0,0.001,raspberrypi,400.3,9612.75,9618.47,9618.47,10019.69
cnn,6000,1,0,0.001,raspberrypi,406.02,10020.48,10026.18,10026.18,10433.12
cnn,6000,1,0,0.001,raspberrypi,397.12,10433.93,10439.63,10439.63,10837.66
cnn,6000,1,0,0.001,raspberrypi,391.85,10838.47,10844.15,10844.15,11236.9
cnn,6000,1,0,0.001,raspberrypi,398.55,11237.83,11243.48,11243.48,11642.93
cnn,6000,1,0,0.001,raspberrypi,396.25,11643.85,11649.59,11649.59,12046.77
cnn,6000,1,0,0.001,raspberrypi,402.11,12047.26,12052.97,12052.97,12456.0
cnn,6000,1,0,0.001,raspberrypi,409.83,12456.35,12462.1,12462.1,12872.86
cnn,6000,1,0,0.001,raspberrypi,410.5,12873.37,12879.13,12879.13,13290.57
cnn,6000,1,0,0.001,raspberrypi,405.17,13291.02,13296.79,13296.79,13702.92
cnn,6000,1,0,0.001,raspberrypi,409.91,13703.29,13709.02,13709.02,14119.86
cnn,6000,1,0,0.001,raspberrypi,411.08,14120.32,14126.06,14126.06,14538.08
