model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
cnn2,train,6000,0.62,56.0,28.1,1500.35,7.1,0.0,5.11,-0.93,4.75
cnn2,train,6000,1.18,55.0,25.0,1500.35,7.3,0.0,5.11,-0.94,4.8
cnn2,train,6000,1.75,56.4,25.0,1500.35,9.9,0.0,5.12,-0.9,4.57
cnn2,train,6000,2.32,56.0,26.1,1500.35,12.4,0.0,5.11,-0.91,4.31
cnn2,train,6000,2.89,56.0,25.0,1500.4,14.5,0.0,5.11,-0.85,4.1
cnn2,train,6000,3.45,57.9,26.0,1500.4,12.4,0.0,5.11,-0.85,4.35
cnn2,train,6000,4.02,56.4,26.5,1500.4,12.2,0.0,5.12,-0.86,4.42
cnn2,train,6000,4.59,56.9,25.0,1500.35,12.2,0.0,5.11,-0.87,4.44
cnn2,train,6000,5.15,56.4,25.6,1500.35,12.3,0.0,5.11,-0.82,4.19
cnn2,train,6000,5.72,57.4,25.0,1500.35,12.3,0.0,5.12,-0.88,4.51
cnn2,train,6000,6.28,57.9,25.3,1500.35,12.3,0.0,5.11,-0.87,4.08
cnn2,train,6000,6.85,57.4,27.9,1500.35,12.4,0.0,5.11,-0.87,4.04
cnn2,train,6000,7.42,56.9,55.0,1500.35,12.8,0.0,5.07,-1.12,5.64
cnn2,train,6000,8.01,59.4,94.5,1500.4,13.3,0.0,5.09,-0.99,5.04
cnn2,train,6000,8.86,60.3,93.5,1500.4,12.8,0.0,5.08,-0.9,4.61
cnn2,train,6000,9.48,59.9,98.5,1000.27,13.2,0.0,5.09,-0.94,4.81
cnn2,train,6000,10.16,59.9,98.0,1000.27,13.0,0.0,5.11,-0.86,4.43
cnn2,train,6000,10.85,60.3,96.0,1000.27,13.1,0.0,5.09,-0.98,4.99
cnn2,train,6000,11.55,60.3,99.5,1000.21,13.0,0.0,5.1,-0.9,4.58
cnn2,train,6000,12.28,59.9,92.4,1000.27,12.9,0.0,5.09,-1.0,5.11
cnn2,train,6000,12.97,61.8,100.0,1000.27,13.4,0.0,5.09,-0.99,5.06
cnn2,train,6000,13.72,61.3,94.9,1000.21,12.6,0.0,5.08,-1.01,5.13
cnn2,train,6000,14.34,61.3,96.5,1000.27,13.2,0.0,5.08,-0.99,5.06
cnn2,train,6000,15.01,61.8,99.5,1000.27,13.4,0.0,5.09,-0.96,4.89
cnn2,train,6000,15.69,61.8,91.8,1000.27,13.0,0.0,5.09,-1.03,5.24
cnn2,train,6000,16.36,61.3,100.0,1000.21,13.4,0.0,5.09,-0.98,4.98
cnn2,train,6000,17.11,61.8,92.5,1000.21,12.8,0.0,5.08,-1.03,5.22
cnn2,train,6000,17.82,62.3,98.0,1000.27,13.2,0.0,5.08,-0.99,5.06
cnn2,train,6000,18.47,61.8,99.0,1000.27,13.1,0.0,5.1,-0.97,4.95
cnn2,train,6000,19.11,62.3,94.1,1000.27,13.0,0.0,5.09,-0.96,4.93
cnn2,train,6000,19.79,62.8,99.5,1000.27,13.3,0.0,5.09,-0.99,5.06
cnn2,train,6000,20.57,62.8,92.2,1000.21,12.8,0.0,5.08,-1.02,5.17
cnn2,train,6000,21.25,63.3,98.0,1000.21,13.4,0.0,5.1,-0.94,4.77
cnn2,train,6000,21.91,63.3,97.5,1000.27,13.0,0.0,5.1,-0.77,3.93
cnn2,train,6000,22.54,63.3,95.6,1000.21,13.1,0.0,5.09,-0.99,5.03
cnn2,train,6000,23.26,63.3,99.5,1000.21,12.8,0.0,5.1,-0.93,4.72
cnn2,train,6000,24.0,63.7,90.3,1000.27,12.9,0.0,5.08,-0.99,5.03
cnn2,train,6000,24.66,63.7,100.0,1000.21,13.4,0.0,5.08,-0.99,5.06
cnn2,train,6000,25.35,63.7,93.0,1000.27,12.5,0.0,5.12,-0.76,4.71
cnn2,train,6000,26.05,62.8,97.0,1000.21,13.2,0.0,5.08,-1.07,5.2
cnn2,train,6000,26.73,64.2,99.0,1000.27,13.3,0.0,5.09,-0.96,4.86
cnn2,train,6000,27.48,63.3,92.7,1000.21,13.0,0.0,5.11,-0.83,5.2
cnn2,train,6000,28.22,63.7,100.0,1000.27,13.4,0.0,5.09,-0.93,4.75
cnn2,train,6000,28.96,62.3,91.5,1000.21,12.8,0.0,5.08,-1.02,5.2
cnn2,train,6000,29.61,64.2,98.5,1000.27,13.3,0.0,5.09,-0.99,5.04
cnn2,train,6000,30.31,63.3,97.5,1000.27,13.0,0.0,5.11,-0.76,3.88
cnn2,train,6000,30.94,64.2,94.9,1000.27,13.1,0.0,5.09,-1.0,5.08
cnn2,train,6000,31.64,64.2,99.0,1000.21,13.2,0.0,5.08,-0.98,5.0
cnn2,train,6000,32.39,64.2,92.0,1000.27,12.9,0.0,5.09,-1.0,5.07
cnn2,train,6000,33.07,64.2,99.0,1000.21,13.4,0.0,5.09,-1.0,5.08
cnn2,train,6000,33.82,65.2,94.4,1000.21,12.7,0.0,5.08,-1.01,5.12
cnn2,train,6000,34.46,64.2,96.5,1000.21,13.2,0.0,5.07,-1.02,5.16
cnn2,train,6000,35.15,64.7,99.5,1000.21,13.4,0.0,5.09,-1.03,5.22
cnn2,train,6000,35.88,64.2,93.2,1000.27,12.9,0.0,5.1,-0.8,5.32
