model,samples,epochs,dimension,learning rate,device,training time,dl begin,dl end,train begin,train end
onlinehd,6000,20,4000,0.035,raspberrypi,418.03,0.02,5.29,5.29,423.32
onlinehd,6000,20,4000,0.035,raspberrypi,436.46,423.59,430.89,430.89,867.35
onlinehd,6000,20,4000,0.035,raspberrypi,427.2,867.64,874.81,874.81,1302.01
onlinehd,6000,20,4000,0.035,raspberrypi,433.69,1302.57,1309.78,1309.78,1743.47
onlinehd,6000,20,4000,0.035,raspberrypi,430.08,1743.81,1751.06,1751.06,2181.14
onlinehd,6000,20,4000,0.035,raspberrypi,432.5,2181.45,2188.7,2188.7,2621.2
onlinehd,6000,20,4000,0.035,raspberrypi,429.29,2621.54,2628.74,2628.74,3058.03
onlinehd,6000,20,4000,0.035,raspberrypi,435.8,3058.72,3065.92,3065.92,3501.72
onlinehd,6000,20,4000,0.035,raspberrypi,428.08,3501.86,3509.08,3509.08,3937.16
onlinehd,6000,20,4000,0.035,raspberrypi,435.52,3937.76,3945.03,3945.03,4380.55
onlinehd,6000,20,4000,0.035,raspberrypi,428.27,4381.14,4388.43,4388.43,4816.7
onlinehd,6000,20,4000,0.035,raspberrypi,434.4,4817.19,4824.4,4824.4,5258.8
onlinehd,6000,20,4000,0.035,raspberrypi,428.43,5258.99,5266.14,5266.14,5694.57
onlinehd,6000,20,4000,0.035,raspberrypi,438.42,5695.17,5702.38,5702.38,6140.8
onlinehd,6000,20,4000,0.035,raspberrypi,435.33,6141.35,6148.58,6148.58,6583.91
onlinehd,6000,20,4000,0.035,raspberrypi,435.05,6584.43,6591.66,6591.66,7026.71
onlinehd,6000,20,4000,0.035,raspberrypi,435.73,7027.42,7034.64,7034.64,7470.37
onlinehd,6000,20,4000,0.035,raspberrypi,434.81,7470.89,7478.14,7478.14,7912.95
onlinehd,6000,20,4000,0.035,raspberrypi,430.95,7913.29,7920.48,7920.48,8351.43
onlinehd,6000,20,4000,0.035,raspberrypi,434.4,8352.0,8359.18,8359.18,8793.58
onlinehd,6000,20,4000,0.035,raspberrypi,433.88,8793.73,8800.92,8800.92,9234.79
onlinehd,6000,20,4000,0.035,raspberrypi,435.22,9235.1,9242.29,9242.29,9677.5
onlinehd,6000,20,4000,0.035,raspberrypi,433.6,9677.86,9685.05,9685.05,10118.65
onlinehd,6000,20,4000,0.035,raspberrypi,435.26,10119.04,10126.27,10126.27,10561.52
onlinehd,6000,20,4000,0.035,raspberrypi,433.7,10561.77,10568.97,10568.97,11002.67
onlinehd,6000,20,4000,0.035,raspberrypi,434.86,11003.22,11010.44,11010.44,11445.3
onlinehd,6000,20,4000,0.035,raspberrypi,431.76,11445.83,11452.99,11452.99,11884.75
onlinehd,6000,20,4000,0.035,raspberrypi,433.4,11885.32,11892.54,11892.54,12325.94
onlinehd,6000,20,4000,0.035,raspberrypi,431.33,12326.42,12333.65,12333.65,12764.99
onlinehd,6000,20,4000,0.035,raspberrypi,433.25,12765.45,12772.66,12772.66,13205.92
onlinehd,6000,20,4000,0.035,raspberrypi,434.72,13206.49,13213.67,13213.67,13648.39
onlinehd,6000,20,4000,0.035,raspberrypi,433.68,13648.69,13655.8,13655.8,14089.48
onlinehd,6000,20,4000,0.035,raspberrypi,434.55,14090.18,14097.47,14097.47,14532.02
