model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
onlinehd,train,6000,0.59,56.0,25.0,1500.35,7.1,0.0,5.1,-0.85,4.44
onlinehd,train,6000,1.17,55.5,25.0,1500.4,7.4,0.0,5.1,-0.83,4.26
onlinehd,train,6000,1.74,55.0,25.8,1500.4,9.9,0.0,5.12,-0.87,4.44
onlinehd,train,6000,2.31,56.0,25.5,1500.4,11.9,0.0,5.12,-0.86,4.39
onlinehd,train,6000,2.88,54.5,26.6,1500.35,13.1,0.0,5.11,-0.85,4.07
onlinehd,train,6000,3.46,56.0,25.0,1500.35,15.7,0.0,5.12,-0.83,4.26
onlinehd,train,6000,4.03,55.5,25.0,1500.35,16.7,0.0,5.1,-0.87,4.47
onlinehd,train,6000,4.65,56.0,28.9,1500.4,12.4,0.0,5.07,-1.04,5.29
onlinehd,train,6000,5.35,56.4,36.3,1500.4,9.8,0.0,5.04,-1.23,6.18
onlinehd,train,6000,6.03,58.4,98.0,1500.35,9.9,0.0,5.03,-1.22,6.14
onlinehd,train,6000,6.61,58.4,99.5,1500.35,10.1,0.0,5.07,-1.06,5.39
onlinehd,train,6000,7.29,59.9,99.5,1500.35,10.2,0.0,5.04,-1.13,5.71
onlinehd,train,6000,8.14,60.8,98.5,1000.21,10.5,0.0,5.09,-0.95,4.85
onlinehd,train,6000,8.87,58.9,100.0,1000.27,10.6,0.0,5.07,-1.09,5.39
onlinehd,train,6000,9.6,61.3,99.5,1000.27,10.7,0.0,5.06,-1.07,5.43
onlinehd,train,6000,10.31,61.3,99.5,1000.21,10.8,0.0,5.06,-1.07,5.43
onlinehd,train,6000,11.07,61.3,100.0,1000.21,11.0,0.0,5.1,-0.9,4.6
onlinehd,train,6000,11.87,61.3,99.5,1000.27,11.2,0.0,5.07,-1.02,5.17
onlinehd,train,6000,12.6,61.3,99.5,1000.27,11.3,0.0,5.07,-1.02,5.2
onlinehd,train,6000,13.32,60.8,97.0,1000.27,11.4,0.0,5.07,-1.04,5.27
onlinehd,train,6000,14.06,61.8,100.0,1000.27,11.5,0.0,5.06,-1.1,5.24
onlinehd,train,6000,14.81,61.3,100.0,1000.27,11.6,0.0,5.09,-0.94,4.79
onlinehd,train,6000,15.55,61.3,100.0,1000.27,11.9,0.0,5.09,-0.98,4.98
onlinehd,train,6000,16.27,62.3,100.0,1000.27,12.0,0.0,5.07,-1.01,5.11
onlinehd,train,6000,16.98,61.3,95.5,1000.27,12.1,0.0,5.07,-1.05,5.35
onlinehd,train,6000,17.68,62.8,98.5,1000.27,12.2,0.0,5.07,-1.02,5.2
onlinehd,train,6000,18.41,62.3,99.0,1000.27,12.3,0.0,5.07,-1.05,5.31
onlinehd,train,6000,19.14,62.8,98.5,1000.21,12.4,0.0,5.07,-1.04,5.27
onlinehd,train,6000,19.83,62.8,99.5,1000.21,12.7,0.0,5.08,-0.97,4.95
onlinehd,train,6000,20.57,63.3,98.0,1000.21,12.8,0.0,5.09,-0.94,4.75
onlinehd,train,6000,21.28,62.3,99.0,1000.21,12.9,0.0,5.08,-1.05,5.35
onlinehd,train,6000,21.91,61.8,99.5,1000.21,13.0,0.0,5.1,-0.9,4.57
onlinehd,train,6000,22.6,62.3,99.5,1000.21,13.1,0.0,5.06,-1.07,5.43
onlinehd,train,6000,23.29,62.3,100.0,1000.21,13.2,0.0,5.07,-1.03,5.22
onlinehd,train,6000,23.97,63.7,100.0,1000.21,13.3,0.0,5.08,-1.04,5.27
onlinehd,train,6000,24.71,63.3,99.5,1000.21,13.5,0.0,5.06,-1.08,5.48
onlinehd,train,6000,25.43,63.7,98.0,1000.27,13.6,0.0,5.07,-1.04,5.27
onlinehd,train,6000,26.18,63.7,100.0,1000.27,13.7,0.0,5.08,-0.98,4.99
onlinehd,train,6000,26.92,64.2,100.0,1000.21,13.9,0.0,5.08,-0.97,4.97
onlinehd,train,6000,27.59,62.3,99.5,1000.27,14.1,0.0,5.09,-0.95,4.83
onlinehd,train,6000,28.25,63.7,100.0,1000.27,14.2,0.0,5.09,-0.93,4.72
onlinehd,train,6000,29.01,63.3,100.0,1000.27,14.3,0.0,5.07,-1.02,5.21
onlinehd,train,6000,29.73,63.3,100.0,1000.27,14.4,0.0,5.06,-1.06,5.39
