model,samples,epochs,dimension,learning rate,device,training time,dl begin,dl end,train begin,train end
cnn,6000,1,0,0.001,raspberrypi,312.43,0.03,3.89,3.89,317.0
cnn,6000,1,0,0.001,raspberrypi,319.12,317.4,321.27,321.27,641.04
cnn,6000,1,0,0.001,raspberrypi,316.64,641.42,645.25,645.25,962.53
cnn,6000,1,0,0.001,raspberrypi,315.56,963.3,967.14,967.14,1283.34
cnn,6000,1,0,0.001,raspberrypi,317.7,1284.08,1287.93,1287.93,1606.27
cnn,6000,1,0,0.001,raspberrypi,319.93,1606.44,1610.32,1610.32,1930.91
cnn,6000,1,0,0.001,raspberrypi,324.15,1931.34,1935.29,1935.29,2260.1
cnn,6000,1,0,0.001,raspberrypi,323.22,2260.27,2264.18,2264.18,2588.05
cnn,6000,1,0,0.001,raspberrypi,321.13,2588.29,2592.2,2592.2,2913.99
cnn,6000,1,0,0.001,raspberrypi,319.71,2914.62,2918.56,2918.56,3238.92
cnn,6000,1,0,0.001,raspberrypi,318.17,3239.32,3243.25,3243.25,3562.08
cnn,6000,1,0,0.001,raspberrypi,318.21,3562.56,3566.48,3566.48,3885.34
cnn,6000,1,0,0.001,raspberrypi,319.25,3885.89,3889.78,3889.78,4209.68
cnn,6000,1,0,0.001,raspberrypi,320.82,4210.46,4214.39,4214.39,4535.87
cnn,6000,1,0,0.001,raspberrypi,319.83,4536.41,4540.29,4540.29,4860.78
cnn,6000,1,0,0.001,raspberrypi,321.15,4861.45,4865.37,4865.37,5187.18
cnn,6000,1,0,0.001,raspberrypi,320.9,5187.99,5191.9,5191.9,5513.86
cnn,6000,1,0,0.001,raspberrypi,322.22,5514.54,5518.48,5518.48,5841.37
cnn,6000,1,0,0.001,raspberrypi,322.52,5841.6,5845.52,5845.52,6168.71
cnn,6000,1,0,0.001,raspberrypi,322.76,6169.08,6173.0,6173.0,6496.42
cnn,6000,1,0,0.001,raspberrypi,323.72,6496.61,6500.56,6500.56,6824.94
cnn,6000,1,0,0.001,raspberrypi,323.04,6825.6,6829.57,6829.57,7153.27
cnn,6000,1,0,0.001,raspberrypi,323.79,7154.09,7158.02,7158.02,7482.47
cnn,6000,1,0,0.001,raspberrypi,325.22,7483.04,7487.0,7487.0,7812.88
cnn,6000,1,0,0.001,raspberrypi,323.82,7813.61,7817.61,7817.61,8142.1
cnn,6000,1,0,0.001,raspberrypi,324.77,8142.99,8146.93,8146.93,8472.36
cnn,6000,1,0,0.001,raspberrypi,324.31,8472.89,8476.81,8476.81,8801.79
cnn,6000,1,0,0.001,raspberrypi,323.51,8802.12,8806.08,8806.08,9130.25
cnn,6000,1,0,0.001,raspberrypi,327.37,9131.07,9135.03,9135.03,9463.07
cnn,6000,1,0,0.001,raspberrypi,326.13,9463.63,9467.6,9467.6,9794.43
cnn,6000,1,0,0.001,raspberrypi,326.82,9794.78,9798.76,9798.76,10126.25
cnn,6000,1,0,0.001,raspberrypi,324.02,10126.96,10130.92,10130.92,10455.61
cnn,6000,1,0,0.001,raspberrypi,324.06,10456.15,10460.15,10460.15,10784.87
cnn,6000,1,0,0.001,raspberrypi,328.37,10785.74,10789.77,10789.77,11118.8
cnn,6000,1,0,0.001,raspberrypi,325.51,11119.22,11123.17,11123.17,11449.34
cnn,6000,1,0,0.001,raspberrypi,326.39,11450.02,11454.03,11454.03,11781.09
cnn,6000,1,0,0.001,raspberrypi,329.82,11781.64,11785.59,11785.59,12116.07
cnn,6000,1,0,0.001,raspberrypi,332.17,12116.44,12120.44,12120.44,12453.27
cnn,6000,1,0,0.001,raspberrypi,331.64,12453.46,12457.43,12457.43,12789.75
cnn,6000,1,0,0.001,raspberrypi,331.53,12790.23,12794.28,12794.28,13126.49
cnn,6000,1,0,0.001,raspberrypi,331.73,13126.73,13130.7,13130.7,13463.1
cnn,6000,1,0,0.001,raspberrypi,331.52,13464.02,13468.04,13468.04,13800.24
cnn,6000,1,0,0.001,raspberrypi,333.38,13800.94,13804.95,13804.95,14139.01
cnn,6000,1,0,0.001,raspberrypi,333.36,14139.23,14143.2,14143.2,14477.24
