model,samples,epochs,dimension,learning rate,device,training time,dl begin,dl end,train begin,train end
cnn,6000,1,0,0.001,raspberrypi,318.09,0.0,3.77,0.04,318.82
cnn,6000,1,0,0.001,raspberrypi,316.01,0.0,3.77,319.11,635.76
cnn,6000,1,0,0.001,raspberrypi,317.71,0.0,3.77,635.88,954.23
cnn,6000,1,0,0.001,raspberrypi,315.28,0.0,3.77,954.64,1270.56
cnn,6000,1,0,0.001,raspberrypi,313.51,0.0,3.77,1271.16,1585.3
cnn,6000,1,0,0.001,raspberrypi,313.94,0.0,3.77,1585.85,1900.46
cnn,6000,1,0,0.001,raspberrypi,314.7,0.0,3.77,1900.89,2216.24
cnn,6000,1,0,0.001,raspberrypi,315.22,0.0,3.77,2216.5,2532.36
cnn,6000,1,0,0.001,raspberrypi,316.93,0.0,3.77,2532.62,2850.19
cnn,6000,1,0,0.001,raspberrypi,320.69,0.0,3.77,2850.47,3171.82
cnn,6000,1,0,0.001,raspberrypi,317.94,0.0,3.77,3172.4,3491.01
cnn,6000,1,0,0.001,raspberrypi,315.59,0.0,3.77,3491.1,3807.34
cnn,6000,1,0,0.001,raspberrypi,315.79,0.0,3.77,3807.7,4124.14
cnn,6000,1,0,0.001,raspberrypi,324.62,0.0,3.77,4124.8,4450.12
cnn,6000,1,0,0.001,raspberrypi,329.73,0.0,3.77,4450.71,4781.14
cnn,6000,1,0,0.001,raspberrypi,326.01,0.0,3.77,4781.42,5108.09
cnn,6000,1,0,0.001,raspberrypi,324.02,0.0,3.77,5108.72,5433.9
cnn,6000,1,0,0.001,raspberrypi,339.56,0.0,3.77,5434.01,5774.27
cnn,6000,1,0,0.001,raspberrypi,340.0,0.0,3.77,5774.74,6115.44
cnn,6000,1,0,0.001,raspberrypi,340.39,0.0,3.77,6116.12,6457.2
cnn,6000,1,0,0.001,raspberrypi,341.15,0.0,3.77,6457.97,6799.85
cnn,6000,1,0,0.001,raspberrypi,341.62,0.0,3.77,6800.08,7142.4
cnn,6000,1,0,0.001,raspberrypi,343.32,0.0,3.77,7142.54,7486.55
cnn,6000,1,0,0.001,raspberrypi,341.89,0.0,3.77,7487.0,7829.62
cnn,6000,1,0,0.001,raspberrypi,343.27,0.0,3.77,7830.09,8174.09
cnn,6000,1,0,0.001,raspberrypi,342.05,0.0,3.77,8174.53,8517.3
cnn,6000,1,0,0.001,raspberrypi,342.88,0.0,3.77,8517.99,8861.6
cnn,6000,1,0,0.001,raspberrypi,342.85,0.0,3.77,8862.37,9205.96
cnn,6000,1,0,0.001,raspberrypi,343.45,0.0,3.77,9206.77,9550.97
cnn,6000,1,0,0.001,raspberrypi,343.48,0.0,3.77,9551.46,9895.68
cnn,6000,1,0,0.001,raspberrypi,341.68,0.0,3.77,9896.17,10238.59
cnn,6000,1,0,0.001,raspberrypi,343.7,0.0,3.77,10239.44,10583.86
cnn,6000,1,0,0.001,raspberrypi,344.12,0.0,3.77,10584.31,10929.17
cnn,6000,1,0,0.001,raspberrypi,347.18,0.0,3.77,10929.97,11277.89
cnn,6000,1,0,0.001,raspberrypi,346.42,0.0,3.77,11278.11,11625.24
cnn,6000,1,0,0.001,raspberrypi,347.37,0.0,3.77,11625.98,11974.08
cnn,6000,1,0,0.001,raspberrypi,347.95,0.0,3.77,11974.59,12323.26
cnn,6000,1,0,0.001,raspberrypi,347.16,0.0,3.77,12324.15,12672.03
cnn,6000,1,0,0.001,raspberrypi,347.63,0.0,3.77,12672.33,13020.67
cnn,6000,1,0,0.001,raspberrypi,348.33,0.0,3.77,13021.5,13370.54
cnn,6000,1,0,0.001,raspberrypi,348.0,0.0,3.77,13371.39,13720.15
cnn,6000,1,0,0.001,raspberrypi,349.48,0.0,3.77,13720.83,14071.04
cnn,6000,1,0,0.001,raspberrypi,349.92,0.0,3.77,14071.25,14421.9
