model,samples,epochs,dimension,learning rate,device,training time,dl begin,dl end,train begin,train end
cnn2,6000,1,0,0.001,raspberrypi,1356.78,0.05,3.99,3.99,1361.88
cnn2,6000,1,0,0.001,raspberrypi,1435.15,1362.16,1366.07,1366.07,2802.21
cnn2,6000,1,0,0.001,raspberrypi,1439.4,2802.96,2806.89,2806.89,4247.31
cnn2,6000,1,0,0.001,raspberrypi,1434.95,4248.07,4251.99,4251.99,5687.95
cnn2,6000,1,0,0.001,raspberrypi,1437.63,5688.27,5692.19,5692.19,7130.85
cnn2,6000,1,0,0.001,raspberrypi,1449.96,7131.48,7135.38,7135.38,8586.36
cnn2,6000,1,0,0.001,raspberrypi,1451.01,8586.69,8590.64,8590.64,10042.68
cnn2,6000,1,0,0.001,raspberrypi,1460.99,10042.8,10046.75,10046.75,11508.82
cnn2,6000,1,0,0.001,raspberrypi,1461.93,11509.54,11513.49,11513.49,12976.45
cnn2,6000,1,0,0.001,raspberrypi,1465.1,12977.02,12980.98,12980.98,14447.11
