model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
cnn2,train,6000,0.62,55.5,25.0,1500.4,7.3,0.0,5.09,-0.99,5.07
cnn2,train,6000,1.19,55.5,25.6,1500.35,7.5,0.0,5.1,-1.02,5.2
cnn2,train,6000,1.77,56.4,25.3,1500.35,9.6,0.0,5.1,-0.85,4.2
cnn2,train,6000,2.33,56.9,25.0,1500.35,12.2,0.0,5.11,-0.91,4.63
cnn2,train,6000,2.9,55.5,27.0,1500.35,14.2,0.0,5.11,-0.89,4.53
cnn2,train,6000,3.47,56.4,25.0,1500.35,16.4,0.0,5.11,-0.9,4.61
cnn2,train,6000,4.04,57.4,24.6,1500.35,12.3,0.0,5.09,-0.95,4.84
cnn2,train,6000,4.6,55.5,26.1,1500.4,12.4,0.0,5.1,-0.86,4.22
cnn2,train,6000,5.17,55.5,22.9,1500.35,12.5,0.0,5.11,-0.9,4.6
cnn2,train,6000,5.74,56.9,25.5,1500.35,12.5,0.0,5.1,-0.91,4.34
cnn2,train,6000,6.3,56.4,25.0,1500.4,12.5,0.0,5.1,-0.87,4.44
cnn2,train,6000,6.87,56.9,23.1,1500.35,12.5,0.0,5.1,-0.86,4.16
cnn2,train,6000,7.43,56.4,26.6,1500.4,12.6,0.0,5.12,-0.9,4.6
cnn2,train,6000,8.0,56.0,34.2,1500.35,12.9,0.0,5.05,-1.21,6.11
cnn2,train,6000,8.67,58.9,76.5,1500.35,13.5,0.0,5.05,-1.14,5.79
cnn2,train,6000,9.35,58.9,94.4,1500.4,12.8,0.0,5.08,-1.05,5.36
cnn2,train,6000,9.99,60.3,97.5,1500.35,13.3,0.0,5.07,-1.18,5.7
cnn2,train,6000,10.59,59.9,96.4,1500.35,13.2,0.0,5.08,-0.93,5.11
cnn2,train,6000,11.19,61.3,95.9,1500.4,13.4,0.0,5.05,-1.23,6.21
cnn2,train,6000,11.85,61.8,99.0,1500.35,13.6,0.0,5.04,-1.17,5.93
cnn2,train,6000,12.48,62.3,94.0,1500.35,13.3,0.0,5.04,-1.19,6.0
cnn2,train,6000,13.17,62.3,99.0,1500.35,13.6,0.0,5.05,-1.17,5.93
cnn2,train,6000,13.82,62.8,95.1,1500.35,13.2,0.0,5.05,-1.17,5.9
cnn2,train,6000,14.44,63.7,98.5,1500.35,13.6,0.0,5.04,-1.21,6.11
cnn2,train,6000,15.11,64.2,93.0,1500.35,13.3,0.0,5.05,-1.14,5.86
cnn2,train,6000,15.82,64.2,99.0,1500.35,13.6,0.0,5.07,-0.95,4.83
cnn2,train,6000,16.41,64.2,93.9,1500.4,13.3,0.0,5.05,-1.19,5.99
cnn2,train,6000,17.11,64.2,99.5,1500.35,13.6,0.0,5.05,-1.14,5.76
cnn2,train,6000,17.77,64.7,93.5,1500.35,13.3,0.0,5.06,-1.18,5.94
cnn2,train,6000,18.48,65.2,99.5,1500.35,13.6,0.0,5.09,-0.98,4.98
cnn2,train,6000,19.12,64.2,93.1,1500.4,13.3,0.0,5.07,-1.07,5.43
cnn2,train,6000,19.74,65.2,99.5,1500.35,13.5,0.0,5.06,-1.1,5.58
cnn2,train,6000,20.36,65.7,92.2,1500.4,13.2,0.0,5.07,-1.09,5.49
cnn2,train,6000,21.05,65.7,97.4,1500.4,13.5,0.0,5.08,-1.05,5.31
cnn2,train,6000,21.76,64.7,94.1,1500.4,13.3,0.0,5.05,-1.19,5.99
cnn2,train,6000,22.45,65.7,97.5,1500.35,13.6,0.0,5.07,-1.1,5.59
cnn2,train,6000,23.07,66.2,93.2,1500.35,13.3,0.0,5.06,-1.21,5.86
cnn2,train,6000,23.69,66.7,96.0,1500.35,13.4,0.0,5.07,-1.08,5.49
cnn2,train,6000,24.42,65.7,93.9,1500.35,13.3,0.0,5.05,-1.16,5.88
cnn2,train,6000,25.01,66.7,98.5,1500.35,13.4,0.0,5.07,-1.07,5.47
cnn2,train,6000,25.72,66.7,93.6,1500.35,13.3,0.0,5.05,-1.2,6.05
cnn2,train,6000,26.35,65.7,99.0,1500.35,13.4,0.0,5.06,-1.07,5.4
cnn2,train,6000,27.07,66.7,92.9,1500.35,13.3,0.0,5.05,-1.25,5.5
cnn2,train,6000,27.72,67.6,99.5,1500.4,13.6,0.0,5.05,-1.14,5.79
cnn2,train,6000,28.42,67.2,94.5,1500.4,13.3,0.0,5.05,-1.2,5.72
cnn2,train,6000,29.08,65.7,99.5,1500.4,13.6,0.0,5.06,-1.03,5.25
cnn2,train,6000,29.74,66.7,95.1,1500.4,13.2,0.0,5.07,-1.09,5.39
cnn2,train,6000,30.46,67.6,98.5,1500.4,13.3,0.0,5.05,-1.14,5.8
cnn2,train,6000,31.08,67.2,94.9,1500.4,13.3,0.0,5.07,-1.07,5.45
cnn2,train,6000,31.77,68.1,98.5,1500.4,13.6,0.0,5.06,-0.85,4.34
cnn2,train,6000,32.39,67.6,92.4,1500.4,13.3,0.0,5.05,-1.19,5.99
cnn2,train,6000,33.01,68.1,97.5,1500.35,13.5,0.0,5.05,-1.12,5.68
cnn2,train,6000,33.64,66.7,93.4,1500.35,13.2,0.0,5.05,-1.2,5.45
cnn2,train,6000,34.34,68.1,100.0,1500.4,13.6,0.0,5.06,-1.12,5.7
cnn2,train,6000,35.04,67.6,94.5,1500.4,13.3,0.0,5.07,-1.17,5.89
cnn2,train,6000,35.74,67.2,99.5,1500.35,13.6,0.0,5.07,-1.11,5.62
cnn2,train,6000,36.37,67.6,94.4,1500.35,13.3,0.0,5.05,-1.18,5.98
cnn2,train,6000,37.05,68.1,99.5,1500.35,13.6,0.0,5.06,-1.13,5.71
cnn2,train,6000,37.71,67.6,94.6,1500.4,13.3,0.0,5.07,-1.07,5.44
cnn2,train,6000,38.41,69.1,98.5,1500.4,13.3,0.0,5.11,-0.84,4.26
cnn2,train,6000,39.02,67.6,92.9,1500.4,13.3,0.0,5.05,-1.2,6.05
cnn2,train,6000,39.69,67.6,99.5,1500.35,13.6,0.0,5.04,-1.16,5.88
cnn2,train,6000,40.37,68.1,94.3,1500.4,13.3,0.0,5.05,-1.17,5.93
cnn2,train,6000,41.01,68.1,99.5,1500.35,13.6,0.0,5.07,-1.07,5.41
cnn2,train,6000,41.64,68.1,91.7,1500.35,13.3,0.0,5.05,-1.19,5.95
cnn2,train,6000,42.32,68.6,100.0,1500.35,13.6,0.0,5.05,-1.11,5.64
cnn2,train,6000,43.01,68.1,94.4,1500.4,13.2,0.0,5.05,-1.15,5.9
cnn2,train,6000,43.7,69.6,99.5,1500.4,13.6,0.0,5.07,-1.08,5.45
cnn2,train,6000,44.34,68.6,93.5,1500.4,13.3,0.0,5.07,-1.15,5.81
cnn2,train,6000,44.97,68.1,99.5,1500.4,13.6,0.0,5.06,-1.13,5.71
cnn2,train,6000,45.64,68.6,94.0,1500.4,13.3,0.0,5.04,-1.17,5.91
cnn2,train,6000,46.23,68.1,98.5,1500.4,13.3,0.0,5.07,-1.04,5.29
cnn2,train,6000,46.87,69.1,92.0,1500.4,13.1,0.0,5.1,-1.06,5.39
cnn2,train,6000,47.49,68.1,99.0,1500.35,13.6,0.0,5.05,-1.2,6.07
cnn2,train,6000,48.14,68.6,93.7,1500.35,13.1,0.0,5.05,-1.19,6.0
cnn2,train,6000,48.8,69.6,100.0,1500.35,13.6,0.0,5.06,-1.07,5.39
cnn2,train,6000,49.44,69.6,93.8,1500.35,13.1,0.0,5.06,-1.24,6.27
cnn2,train,6000,50.08,70.1,100.0,1500.4,13.7,0.0,5.08,-1.04,5.25
cnn2,train,6000,50.7,68.6,94.3,1500.35,13.0,0.0,5.03,-1.23,6.18
cnn2,train,6000,51.32,69.1,98.5,1500.35,13.5,0.0,5.09,-1.03,5.26
cnn2,train,6000,52.01,69.6,95.1,1500.35,13.0,0.0,5.04,-1.23,6.16
cnn2,train,6000,52.68,69.6,98.5,1500.35,13.5,0.0,5.07,-1.06,5.38
cnn2,train,6000,53.37,68.6,94.4,1500.4,13.0,0.0,5.03,-0.85,4.31
cnn2,train,6000,53.97,69.6,98.5,1500.4,13.5,0.0,5.06,-1.11,5.61
cnn2,train,6000,54.68,70.1,95.6,1500.4,13.0,0.0,5.03,-1.25,6.31
cnn2,train,6000,55.33,70.1,98.5,1500.35,13.6,0.0,5.05,-1.15,5.79
cnn2,train,6000,56.02,70.6,96.1,1500.35,13.0,0.0,5.04,-1.25,6.27
cnn2,train,6000,56.6,69.6,98.0,1500.4,13.4,0.0,5.06,-1.1,5.43
cnn2,train,6000,57.29,70.1,94.1,1500.35,13.0,0.0,5.04,-1.23,6.18
cnn2,train,6000,57.94,69.6,98.5,1500.4,13.6,0.0,5.06,-1.14,5.77
cnn2,train,6000,58.66,71.1,93.7,1500.35,13.0,0.0,5.07,-1.12,5.72
cnn2,train,6000,59.31,70.1,99.5,1500.35,13.7,0.0,5.08,-1.03,5.25
cnn2,train,6000,60.04,70.1,93.0,1500.35,13.1,0.0,5.03,-1.17,5.88
cnn2,train,6000,60.64,69.6,99.5,1500.4,13.6,0.0,5.04,-1.15,5.81
cnn2,train,6000,61.37,70.6,93.8,1500.35,13.1,0.0,5.05,-1.26,6.34
cnn2,train,6000,61.98,70.6,99.5,1500.35,13.5,0.0,5.05,-1.11,5.86
cnn2,train,6000,62.7,70.1,94.6,1500.35,13.1,0.0,5.04,-1.25,6.32
cnn2,train,6000,63.32,70.6,100.0,1500.35,13.5,0.0,5.05,-1.13,5.73
