model,samples,epochs,dimension,learning rate,device,training time,dl begin,dl end,train begin,train end
cnn,6000,1,0,0.001,raspberrypi,1373.84,0.0,3.91,0.04,1375.07
cnn,6000,1,0,0.001,raspberrypi,1361.56,0.0,3.91,1375.2,2737.73
cnn,6000,1,0,0.001,raspberrypi,1353.88,0.0,3.91,2737.9,4092.78
cnn,6000,1,0,0.001,raspberrypi,1350.98,0.0,3.91,4093.29,5445.27
cnn,6000,1,0,0.001,raspberrypi,1352.36,0.0,3.91,5445.89,6799.24
cnn,6000,1,0,0.001,raspberrypi,1375.18,0.0,3.91,6799.58,8175.76
cnn,6000,1,0,0.001,raspberrypi,1371.43,0.0,3.91,8175.9,9548.36
cnn,6000,1,0,0.001,raspberrypi,1381.96,0.0,3.91,9548.88,10931.89
cnn,6000,1,0,0.001,raspberrypi,1362.67,0.0,3.91,10932.61,12296.27
cnn,6000,1,0,0.001,raspberrypi,1379.05,0.0,3.91,12296.49,13676.54
cnn,6000,1,0,0.001,raspberrypi,1410.1,0.0,3.91,13676.65,15088.19
