model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
cnn,train,6000,0.68,56.0,28.1,1500.4,12.6,0.0,5.08,-0.94,4.77
cnn,train,6000,1.32,56.4,23.5,1500.35,12.7,0.0,5.1,-0.94,4.8
cnn,train,6000,1.96,56.9,25.0,1500.4,12.7,0.0,5.09,-0.92,4.71
cnn,train,6000,2.59,57.9,26.3,1500.4,12.7,0.0,5.09,-0.94,4.76
cnn,train,6000,3.22,57.9,28.6,1500.4,12.8,0.0,5.09,-0.94,4.81
cnn,train,6000,3.86,57.4,24.9,1500.4,12.8,0.0,5.1,-0.91,4.66
cnn,train,6000,4.49,58.4,65.0,1500.35,13.3,0.0,5.09,-1.09,4.22
cnn,train,6000,5.17,58.9,99.0,1500.35,13.5,0.0,5.05,-1.11,5.62
cnn,train,6000,6.02,61.3,92.9,1500.4,13.6,0.0,5.03,-1.21,6.11
cnn,train,6000,6.91,61.3,96.0,1500.35,13.0,0.0,5.06,-1.05,5.29
cnn,train,6000,7.67,62.8,97.5,1500.4,13.8,0.0,5.03,-1.11,5.61
cnn,train,6000,8.46,63.7,94.6,1500.4,13.2,0.0,5.01,-1.28,6.14
cnn,train,6000,9.26,64.2,100.0,1500.4,13.8,0.0,5.04,-1.17,5.91
cnn,train,6000,10.13,64.2,94.2,1500.4,13.6,0.0,5.02,-1.24,6.22
cnn,train,6000,11.0,64.7,95.5,1500.35,13.4,0.0,5.03,-0.99,5.03
cnn,train,6000,11.83,64.7,98.0,1500.35,13.8,0.0,5.02,-1.17,5.9
cnn,train,6000,12.59,65.2,93.3,1500.4,13.1,0.0,5.06,-0.97,4.94
cnn,train,6000,13.36,65.7,98.5,1500.4,13.8,0.0,5.02,-1.15,5.76
cnn,train,6000,14.26,66.2,92.3,1500.35,13.5,0.0,5.03,-1.15,5.79
cnn,train,6000,15.05,66.2,100.0,1500.4,13.8,0.0,5.03,-1.2,6.04
