model,samples,epochs,dimension,learning rate,device,training time,dl begin,dl end,train begin,train end
onlinehd,6000,20,4000,0.035,raspberrypi,299.48,0.05,5.41,5.41,304.89
onlinehd,6000,20,4000,0.035,raspberrypi,307.06,304.96,310.2,310.2,617.26
onlinehd,6000,20,4000,0.035,raspberrypi,305.31,617.74,622.96,622.96,928.28
onlinehd,6000,20,4000,0.035,raspberrypi,299.66,928.86,934.06,934.06,1233.72
onlinehd,6000,20,4000,0.035,raspberrypi,304.92,1234.1,1239.27,1239.27,1544.19
onlinehd,6000,20,4000,0.035,raspberrypi,303.97,1544.57,1549.71,1549.71,1853.68
onlinehd,6000,20,4000,0.035,raspberrypi,303.19,1854.32,1859.49,1859.49,2162.68
onlinehd,6000,20,4000,0.035,raspberrypi,303.24,2163.33,2168.49,2168.49,2471.74
onlinehd,6000,20,4000,0.035,raspberrypi,306.13,2472.16,2477.32,2477.32,2783.45
onlinehd,6000,20,4000,0.035,raspberrypi,302.58,2784.02,2789.23,2789.23,3091.81
onlinehd,6000,20,4000,0.035,raspberrypi,302.87,3092.51,3097.63,3097.63,3400.51
onlinehd,6000,20,4000,0.035,raspberrypi,305.72,3400.97,3406.12,3406.12,3711.83
onlinehd,6000,20,4000,0.035,raspberrypi,311.72,3712.32,3717.46,3717.46,4029.18
onlinehd,6000,20,4000,0.035,raspberrypi,303.85,4029.29,4034.43,4034.43,4338.28
onlinehd,6000,20,4000,0.035,raspberrypi,313.14,4338.96,4344.16,4344.16,4657.3
onlinehd,6000,20,4000,0.035,raspberrypi,318.5,4657.99,4663.21,4663.21,4981.72
onlinehd,6000,20,4000,0.035,raspberrypi,303.87,4981.91,4987.06,4987.06,5290.93
onlinehd,6000,20,4000,0.035,raspberrypi,309.29,5291.21,5296.34,5296.34,5605.63
onlinehd,6000,20,4000,0.035,raspberrypi,302.79,5606.13,5611.3,5611.3,5914.08
onlinehd,6000,20,4000,0.035,raspberrypi,305.34,5914.48,5919.61,5919.61,6224.94
onlinehd,6000,20,4000,0.035,raspberrypi,310.02,6225.32,6230.48,6230.48,6540.5
onlinehd,6000,20,4000,0.035,raspberrypi,313.74,6540.9,6546.16,6546.16,6859.9
onlinehd,6000,20,4000,0.035,raspberrypi,314.82,6860.49,6865.72,6865.72,7180.54
onlinehd,6000,20,4000,0.035,raspberrypi,313.63,7180.81,7185.98,7185.98,7499.61
onlinehd,6000,20,4000,0.035,raspberrypi,302.46,7500.11,7505.29,7505.29,7807.75
onlinehd,6000,20,4000,0.035,raspberrypi,306.42,7807.94,7813.1,7813.1,8119.52
onlinehd,6000,20,4000,0.035,raspberrypi,306.25,8120.19,8125.34,8125.34,8431.58
onlinehd,6000,20,4000,0.035,raspberrypi,313.65,8431.96,8437.1,8437.1,8750.75
onlinehd,6000,20,4000,0.035,raspberrypi,309.54,8751.43,8756.57,8756.57,9066.11
onlinehd,6000,20,4000,0.035,raspberrypi,307.53,9066.24,9071.39,9071.39,9378.92
onlinehd,6000,20,4000,0.035,raspberrypi,306.69,9379.41,9384.59,9384.59,9691.27
onlinehd,6000,20,4000,0.035,raspberrypi,310.82,9691.95,9697.12,9697.12,10007.94
onlinehd,6000,20,4000,0.035,raspberrypi,306.1,10008.18,10013.33,10013.33,10319.43
onlinehd,6000,20,4000,0.035,raspberrypi,303.67,10319.55,10324.71,10324.71,10628.39
onlinehd,6000,20,4000,0.035,raspberrypi,305.6,10628.8,10633.95,10633.95,10939.54
onlinehd,6000,20,4000,0.035,raspberrypi,309.51,10940.2,10945.38,10945.38,11254.89
onlinehd,6000,20,4000,0.035,raspberrypi,309.31,11255.06,11260.2,11260.2,11569.5
onlinehd,6000,20,4000,0.035,raspberrypi,305.49,11570.05,11575.21,11575.21,11880.7
onlinehd,6000,20,4000,0.035,raspberrypi,302.81,11880.96,11886.09,11886.09,12188.9
onlinehd,6000,20,4000,0.035,raspberrypi,308.36,12189.38,12194.61,12194.61,12502.98
onlinehd,6000,20,4000,0.035,raspberrypi,301.81,12503.15,12508.34,12508.34,12810.14
onlinehd,6000,20,4000,0.035,raspberrypi,305.41,12810.38,12815.52,12815.52,13120.92
onlinehd,6000,20,4000,0.035,raspberrypi,307.03,13121.6,13126.8,13126.8,13433.83
onlinehd,6000,20,4000,0.035,raspberrypi,312.25,13434.49,13439.68,13439.68,13751.93
onlinehd,6000,20,4000,0.035,raspberrypi,304.74,13752.65,13757.83,13757.83,14062.57
onlinehd,6000,20,4000,0.035,raspberrypi,303.99,14062.83,14067.98,14067.98,14371.97
onlinehd,6000,20,4000,0.035,raspberrypi,303.43,14372.64,14377.8,14377.8,14681.23
