model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
onlinehd,train,6000,0.62,56.0,27.1,1500.4,7.1,0.0,5.09,-0.96,4.93
onlinehd,train,6000,1.19,56.9,26.2,1500.4,7.4,0.0,5.1,-0.97,4.94
onlinehd,train,6000,1.76,57.4,26.0,1500.4,9.5,0.0,5.1,-0.9,4.28
onlinehd,train,6000,2.32,56.4,26.4,1500.35,11.5,0.0,5.1,-0.96,4.89
onlinehd,train,6000,2.89,56.9,27.0,1500.4,12.6,0.0,5.12,-0.91,4.63
onlinehd,train,6000,3.46,57.4,25.7,1500.4,15.2,0.0,5.11,-0.92,4.7
onlinehd,train,6000,4.03,57.9,26.0,1500.35,16.7,0.0,5.1,-0.92,4.71
onlinehd,train,6000,4.64,57.4,25.0,1500.35,12.9,0.0,5.1,-0.9,4.68
onlinehd,train,6000,5.21,57.9,69.2,1500.35,9.6,0.0,5.11,-0.94,4.83
onlinehd,train,6000,5.78,57.9,72.0,1500.35,9.8,0.0,5.08,-1.06,5.38
onlinehd,train,6000,6.43,60.3,96.5,1500.35,10.0,0.0,5.03,-1.23,6.2
onlinehd,train,6000,7.12,61.8,99.5,1500.4,10.1,0.0,5.03,-1.25,6.26
onlinehd,train,6000,7.87,63.3,100.0,1500.4,10.4,0.0,5.01,-1.31,6.57
onlinehd,train,6000,8.57,63.7,97.5,1500.4,10.6,0.0,5.05,-1.14,5.75
onlinehd,train,6000,9.21,64.7,100.0,1500.35,10.7,0.0,5.03,-1.27,6.4
onlinehd,train,6000,9.89,65.2,97.5,1500.35,10.9,0.0,5.06,-1.11,5.57
onlinehd,train,6000,10.56,65.2,100.0,1500.4,11.1,0.0,5.03,-1.3,6.54
onlinehd,train,6000,11.25,65.7,100.0,1500.4,11.3,0.0,5.08,-0.99,5.56
onlinehd,train,6000,11.92,66.2,100.0,1500.35,11.4,0.0,5.03,-1.29,6.59
onlinehd,train,6000,12.6,66.7,100.0,1500.35,11.6,0.0,5.05,-1.22,6.22
onlinehd,train,6000,13.27,67.6,98.5,1500.4,11.9,0.0,5.05,-1.16,5.85
onlinehd,train,6000,13.94,67.6,99.0,1500.35,12.0,0.0,5.03,-1.28,6.41
onlinehd,train,6000,14.63,67.2,100.0,1500.4,12.2,0.0,5.06,-1.11,5.62
onlinehd,train,6000,15.31,68.6,100.0,1500.4,12.3,0.0,5.02,-1.26,6.32
onlinehd,train,6000,16.01,68.6,100.0,1500.35,12.6,0.0,5.03,-1.29,6.49
onlinehd,train,6000,16.68,68.6,98.0,1500.4,12.8,0.0,5.06,-1.12,5.59
onlinehd,train,6000,17.36,69.6,96.5,1500.35,12.9,0.0,5.03,-1.31,6.59
onlinehd,train,6000,18.02,68.6,96.0,1500.35,13.1,0.0,5.03,-1.23,6.2
onlinehd,train,6000,18.7,70.1,100.0,1500.35,13.2,0.0,5.06,-1.11,6.11
onlinehd,train,6000,19.41,69.6,98.5,1500.35,13.5,0.0,5.06,-1.15,5.45
onlinehd,train,6000,20.02,68.6,96.0,1500.4,13.6,0.0,5.02,-1.28,6.44
onlinehd,train,6000,20.66,70.6,96.5,1500.4,13.8,0.0,5.04,-1.19,6.03
onlinehd,train,6000,21.36,69.6,100.0,1500.4,13.9,0.0,5.02,-1.28,6.43
onlinehd,train,6000,22.07,70.1,100.0,1500.35,14.2,0.0,5.03,-1.29,6.48
onlinehd,train,6000,22.74,71.1,99.5,1500.4,14.4,0.0,5.05,-1.2,6.04
onlinehd,train,6000,23.42,70.1,100.0,1500.35,14.5,0.0,5.02,-1.33,6.66
onlinehd,train,6000,24.13,71.1,100.0,1500.4,14.8,0.0,5.01,-1.27,6.39
onlinehd,train,6000,24.8,71.5,100.0,1500.4,14.9,0.0,5.02,-1.29,6.48
onlinehd,train,6000,25.45,70.6,99.5,1500.4,15.1,0.0,5.03,-1.3,6.54
onlinehd,train,6000,26.08,71.5,99.5,1500.35,15.2,0.0,5.06,-1.11,5.64
onlinehd,train,6000,26.77,72.0,99.5,1500.4,15.5,0.0,5.02,-1.28,6.44
onlinehd,train,6000,27.44,72.0,98.0,1500.4,15.7,0.0,5.05,-1.15,6.02
onlinehd,train,6000,28.04,71.1,100.0,1500.35,15.8,0.0,5.04,-1.28,6.41
onlinehd,train,6000,28.71,71.5,97.5,1500.35,16.0,0.0,5.05,-1.17,5.9
onlinehd,train,6000,29.37,72.5,100.0,1500.4,16.2,0.0,5.03,-1.3,6.55
onlinehd,train,6000,30.06,71.5,100.0,1500.35,16.4,0.0,5.02,-1.32,6.63
onlinehd,train,6000,30.73,72.0,99.5,1500.35,16.5,0.0,5.02,-1.28,6.44
onlinehd,train,6000,31.44,71.5,100.0,1500.35,16.7,0.0,5.02,-1.26,6.32
onlinehd,train,6000,32.07,73.0,96.0,1500.4,17.0,0.0,5.06,-1.11,5.64
onlinehd,train,6000,32.72,71.5,97.0,1500.4,17.1,0.0,5.02,-1.27,6.4
onlinehd,train,6000,33.35,73.0,98.0,1500.35,17.3,0.0,5.05,-1.16,6.05
onlinehd,train,6000,34.03,72.5,99.0,1500.35,17.4,0.0,5.03,-1.21,6.07
onlinehd,train,6000,34.74,73.0,100.0,1500.35,17.7,0.0,5.02,-1.28,6.43
onlinehd,train,6000,35.41,73.5,100.0,1500.35,17.8,0.0,5.02,-1.19,6.02
onlinehd,train,6000,36.03,72.5,99.0,1500.35,18.0,0.0,5.03,-1.27,6.67
onlinehd,train,6000,36.72,72.5,98.5,1500.4,18.2,0.0,5.06,-1.12,5.62
onlinehd,train,6000,37.4,73.0,99.5,1500.35,18.4,0.0,5.03,-1.3,6.57
onlinehd,train,6000,38.08,73.0,99.5,1500.35,18.6,0.0,5.02,-1.28,6.43
onlinehd,train,6000,38.75,73.0,100.0,1500.4,18.7,0.0,5.02,-1.29,6.5
onlinehd,train,6000,39.43,73.5,98.5,1500.35,18.9,0.0,5.03,-1.27,6.39
onlinehd,train,6000,40.1,73.0,99.5,1500.35,19.0,0.0,5.07,-1.14,5.79
onlinehd,train,6000,40.75,73.5,100.0,1500.35,19.3,0.0,5.02,-1.28,6.46
onlinehd,train,6000,41.43,74.0,98.5,1500.35,19.5,0.0,5.05,-1.19,6.02
onlinehd,train,6000,42.05,73.0,98.5,1500.35,19.6,0.0,5.03,-1.3,6.54
onlinehd,train,6000,42.72,74.0,99.5,1500.4,19.8,0.0,5.05,-1.13,5.71
onlinehd,train,6000,43.38,73.0,100.0,1500.4,20.0,0.0,5.03,-1.3,6.52
onlinehd,train,6000,44.06,74.0,98.5,1500.35,20.2,0.0,5.01,-1.28,6.44
onlinehd,train,6000,44.73,74.0,100.0,1500.35,20.3,0.0,5.04,-1.23,6.2
onlinehd,train,6000,45.38,73.5,98.5,1500.35,20.5,0.0,5.02,-1.28,6.43
onlinehd,train,6000,46.05,74.5,100.0,1500.4,20.7,0.0,5.06,-1.14,5.75
onlinehd,train,6000,46.76,73.5,97.0,1500.35,20.9,0.0,5.02,-1.29,6.5
onlinehd,train,6000,47.39,74.0,99.0,1500.35,21.1,0.0,5.06,-1.2,6.07
onlinehd,train,6000,48.07,74.0,99.5,1500.35,21.2,0.0,5.04,-1.27,6.68
onlinehd,train,6000,48.74,74.0,83.5,1500.35,22.4,0.0,5.09,-0.95,4.83
onlinehd,train,6000,49.33,73.5,94.1,1500.4,22.4,0.0,5.06,-1.12,5.72
onlinehd,train,6000,49.96,71.5,92.4,1500.35,21.9,0.0,5.07,-1.07,5.41
onlinehd,train,6000,50.59,72.5,83.2,1500.35,21.3,0.0,5.06,-1.12,5.68
onlinehd,train,6000,51.27,72.0,89.9,1500.4,21.3,0.0,5.07,-1.08,5.54
onlinehd,train,6000,51.95,71.1,98.0,1500.4,21.3,0.0,5.07,-1.09,5.53
onlinehd,train,6000,52.59,71.5,98.5,1500.4,21.3,0.0,5.08,-1.0,5.06
onlinehd,train,6000,53.21,71.1,97.5,1500.4,21.3,0.0,5.06,-1.07,5.4
onlinehd,train,6000,53.86,72.0,95.0,1500.4,21.3,0.0,5.07,-1.01,5.15
onlinehd,train,6000,54.47,71.5,98.0,1500.35,21.3,0.0,5.09,-0.95,4.85
onlinehd,train,6000,55.15,71.5,93.9,1500.4,21.3,0.0,5.06,-1.1,5.57
onlinehd,train,6000,55.79,71.1,94.8,1500.4,21.3,0.0,5.07,-1.09,5.53
onlinehd,train,6000,56.45,71.1,96.4,1500.35,21.3,0.0,5.06,-1.09,5.52
onlinehd,train,6000,57.11,71.1,93.8,1500.35,21.3,0.0,5.09,-0.98,5.03
onlinehd,train,6000,57.72,71.5,99.0,1500.4,21.3,0.0,5.06,-1.16,5.79
onlinehd,train,6000,58.4,71.1,97.0,1500.35,21.3,0.0,5.06,-1.09,5.52
onlinehd,train,6000,59.06,71.5,92.9,1500.35,21.3,0.0,5.08,-1.12,5.67
onlinehd,train,6000,59.73,71.5,91.8,1500.35,21.3,0.0,5.06,-1.11,5.62
onlinehd,train,6000,60.38,70.6,98.5,1500.35,21.3,0.0,5.06,-1.1,5.56
onlinehd,train,6000,61.03,70.6,97.0,1500.4,21.3,0.0,5.08,-1.0,5.03
onlinehd,train,6000,61.67,70.6,95.9,1500.4,21.3,0.0,5.06,-1.1,5.58
onlinehd,train,6000,62.33,70.6,91.3,1500.35,21.3,0.0,5.06,-1.12,5.67
onlinehd,train,6000,62.96,70.6,98.0,1500.35,21.3,0.0,5.07,-1.07,5.43
onlinehd,train,6000,63.62,71.1,96.5,1500.4,21.3,0.0,5.05,-1.17,5.91
onlinehd,train,6000,64.3,72.0,94.4,1500.35,21.3,0.0,5.07,-1.1,5.59
onlinehd,train,6000,64.95,71.1,99.0,1500.4,21.3,0.0,5.06,-1.1,5.56
onlinehd,train,6000,65.61,71.1,97.5,1500.35,21.3,0.0,5.06,-1.08,5.49
onlinehd,train,6000,66.29,71.1,99.0,1500.35,21.3,0.0,5.07,-1.11,5.62
onlinehd,train,6000,66.97,71.5,94.9,1500.4,21.3,0.0,5.07,-1.13,5.81
onlinehd,train,6000,67.62,72.5,93.3,1500.35,21.3,0.0,5.07,-1.09,5.54
onlinehd,train,6000,68.29,71.1,96.4,1500.35,21.3,0.0,5.07,-1.1,5.61
onlinehd,train,6000,68.93,71.1,97.4,1500.35,21.3,0.0,5.06,-1.11,5.63
onlinehd,train,6000,69.6,72.0,97.5,1500.35,21.3,0.0,5.07,-1.1,5.57
onlinehd,train,6000,70.28,71.5,99.0,1500.35,21.3,0.0,5.06,-1.11,5.62
onlinehd,train,6000,70.97,72.0,98.5,1500.35,21.3,0.0,5.06,-1.1,5.57
onlinehd,train,6000,71.67,71.5,98.5,1500.4,21.3,0.0,5.07,-1.1,5.61
