model,samples,epochs,dimension,learning rate,device,training time,dl begin,dl end,train begin,train end
onlinehd,6000,20,4000,0.035,raspberrypi,307.67,0.0,5.42,62.27,369.94
onlinehd,6000,20,4000,0.035,raspberrypi,297.98,0.0,5.42,370.4,668.37
onlinehd,6000,20,4000,0.035,raspberrypi,291.67,0.0,5.42,668.98,960.65
onlinehd,6000,20,4000,0.035,raspberrypi,291.13,0.0,5.42,961.06,1252.2
onlinehd,6000,20,4000,0.035,raspberrypi,290.43,0.0,5.42,1252.78,1543.21
onlinehd,6000,20,4000,0.035,raspberrypi,290.24,0.0,5.42,1543.68,1833.92
onlinehd,6000,20,4000,0.035,raspberrypi,288.54,0.0,5.42,1833.98,2122.53
onlinehd,6000,20,4000,0.035,raspberrypi,287.13,0.0,5.42,2123.11,2410.23
onlinehd,6000,20,4000,0.035,raspberrypi,289.64,0.0,5.42,2410.32,2699.96
onlinehd,6000,20,4000,0.035,raspberrypi,289.83,0.0,5.42,2700.26,2990.09
onlinehd,6000,20,4000,0.035,raspberrypi,289.8,0.0,5.42,2990.67,3280.46
onlinehd,6000,20,4000,0.035,raspberrypi,289.59,0.0,5.42,3281.06,3570.66
onlinehd,6000,20,4000,0.035,raspberrypi,291.73,0.0,5.42,3570.95,3862.68
onlinehd,6000,20,4000,0.035,raspberrypi,290.66,0.0,5.42,3863.01,4153.67
onlinehd,6000,20,4000,0.035,raspberrypi,289.3,0.0,5.42,4153.76,4443.06
onlinehd,6000,20,4000,0.035,raspberrypi,289.79,0.0,5.42,4443.67,4733.46
onlinehd,6000,20,4000,0.035,raspberrypi,288.97,0.0,5.42,4733.83,5022.81
onlinehd,6000,20,4000,0.035,raspberrypi,288.29,0.0,5.42,5022.95,5311.24
onlinehd,6000,20,4000,0.035,raspberrypi,291.28,0.0,5.42,5311.82,5603.1
onlinehd,6000,20,4000,0.035,raspberrypi,291.59,0.0,5.42,5603.46,5895.04
onlinehd,6000,20,4000,0.035,raspberrypi,293.42,0.0,5.42,5895.48,6188.9
onlinehd,6000,20,4000,0.035,raspberrypi,290.41,0.0,5.42,6189.05,6479.46
onlinehd,6000,20,4000,0.035,raspberrypi,295.2,0.0,5.42,6479.74,6774.94
onlinehd,6000,20,4000,0.035,raspberrypi,289.5,0.0,5.42,6775.03,7064.52
onlinehd,6000,20,4000,0.035,raspberrypi,290.79,0.0,5.42,7064.98,7355.77
onlinehd,6000,20,4000,0.035,raspberrypi,292.19,0.0,5.42,7356.36,7648.55
onlinehd,6000,20,4000,0.035,raspberrypi,289.83,0.0,5.42,7648.82,7938.65
onlinehd,6000,20,4000,0.035,raspberrypi,291.91,0.0,5.42,7938.85,8230.76
onlinehd,6000,20,4000,0.035,raspberrypi,291.54,0.0,5.42,8230.86,8522.39
onlinehd,6000,20,4000,0.035,raspberrypi,292.58,0.0,5.42,8522.87,8815.46
onlinehd,6000,20,4000,0.035,raspberrypi,291.83,0.0,5.42,8815.55,9107.38
onlinehd,6000,20,4000,0.035,raspberrypi,290.01,0.0,5.42,9107.95,9397.96
onlinehd,6000,20,4000,0.035,raspberrypi,290.3,0.0,5.42,9398.54,9688.85
onlinehd,6000,20,4000,0.035,raspberrypi,292.72,0.0,5.42,9689.46,9982.18
onlinehd,6000,20,4000,0.035,raspberrypi,288.77,0.0,5.42,9982.83,10271.59
onlinehd,6000,20,4000,0.035,raspberrypi,289.29,0.0,5.42,10271.72,10561.01
onlinehd,6000,20,4000,0.035,raspberrypi,290.27,0.0,5.42,10561.22,10851.49
onlinehd,6000,20,4000,0.035,raspberrypi,288.01,0.0,5.42,10851.87,11139.88
onlinehd,6000,20,4000,0.035,raspberrypi,291.04,0.0,5.42,11140.14,11431.19
onlinehd,6000,20,4000,0.035,raspberrypi,288.86,0.0,5.42,11431.71,11720.58
onlinehd,6000,20,4000,0.035,raspberrypi,289.92,0.0,5.42,11721.17,12011.09
onlinehd,6000,20,4000,0.035,raspberrypi,289.63,0.0,5.42,12011.15,12300.79
onlinehd,6000,20,4000,0.035,raspberrypi,290.02,0.0,5.42,12301.26,12591.28
onlinehd,6000,20,4000,0.035,raspberrypi,289.39,0.0,5.42,12591.75,12881.14
onlinehd,6000,20,4000,0.035,raspberrypi,288.53,0.0,5.42,12881.25,13169.78
onlinehd,6000,20,4000,0.035,raspberrypi,291.88,0.0,5.42,13170.13,13462.01
onlinehd,6000,20,4000,0.035,raspberrypi,289.3,0.0,5.42,13462.24,13751.53
onlinehd,6000,20,4000,0.035,raspberrypi,289.69,0.0,5.42,13752.12,14041.81
onlinehd,6000,20,4000,0.035,raspberrypi,291.86,0.0,5.42,14042.2,14334.06
onlinehd,6000,20,4000,0.035,raspberrypi,289.25,0.0,5.42,14334.65,14623.9
