model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
onlinehd,train,6000,63.22,54.0,98.5,1500.35,12.9,0.0,5.05,-1.09,5.53
onlinehd,train,6000,64.23,55.0,96.0,1500.4,13.3,0.0,5.05,-1.12,5.66
onlinehd,train,6000,65.24,56.4,99.0,1500.4,13.0,0.0,5.03,-1.23,6.18
onlinehd,train,6000,66.04,56.4,97.5,1500.4,12.1,0.0,5.05,-1.17,5.7
onlinehd,train,6000,66.75,58.4,97.5,1500.35,11.1,0.0,5.01,-1.29,6.48
onlinehd,train,6000,67.51,58.4,94.4,1500.4,11.3,0.0,5.08,-1.01,5.15
onlinehd,train,6000,68.24,58.4,98.0,1500.35,11.3,0.0,5.02,-1.31,6.55
onlinehd,train,6000,68.98,60.8,99.5,1500.35,11.3,0.0,5.03,-1.1,5.54
onlinehd,train,6000,69.74,60.8,100.0,1500.4,11.3,0.0,5.05,-1.11,5.62
onlinehd,train,6000,70.5,60.8,99.5,1500.35,11.5,0.0,5.02,-1.33,6.72
onlinehd,train,6000,71.26,60.8,100.0,1500.4,11.7,0.0,5.02,-1.32,6.66
onlinehd,train,6000,72.02,61.8,97.0,1500.35,11.8,0.0,5.05,-1.14,5.73
onlinehd,train,6000,72.77,61.3,100.0,1500.4,12.0,0.0,5.02,-1.31,6.57
onlinehd,train,6000,73.57,61.8,100.0,1500.35,12.2,0.0,5.01,-1.3,6.53
onlinehd,train,6000,74.29,63.3,98.0,1500.35,12.4,0.0,5.01,-1.3,6.5
onlinehd,train,6000,75.01,63.3,97.0,1500.35,12.5,0.0,5.01,-1.3,6.5
onlinehd,train,6000,75.76,63.3,97.5,1500.35,12.8,0.0,5.03,-1.31,6.6
onlinehd,train,6000,76.45,63.7,98.0,1500.35,12.9,0.0,5.06,-1.1,5.58
onlinehd,train,6000,77.23,62.8,99.0,1500.4,13.1,0.0,5.01,-1.3,6.54
onlinehd,train,6000,78.01,64.7,99.5,1500.35,13.3,0.0,5.01,-1.29,6.49
onlinehd,train,6000,78.76,64.7,99.5,1500.35,13.6,0.0,5.03,-1.16,5.88
onlinehd,train,6000,79.43,63.3,99.0,1500.4,13.7,0.0,5.0,-1.29,6.48
onlinehd,train,6000,80.19,64.2,100.0,1500.35,13.9,0.0,5.02,-1.25,6.3
onlinehd,train,6000,80.93,65.2,100.0,1500.35,14.2,0.0,5.04,-1.17,5.93
onlinehd,train,6000,81.7,64.7,100.0,1500.35,14.3,0.0,5.03,-1.26,6.32
onlinehd,train,6000,82.42,64.2,100.0,1500.35,14.5,0.0,5.03,-1.28,6.58
onlinehd,train,6000,83.13,65.2,98.5,1500.35,14.7,0.0,5.04,-1.19,5.99
onlinehd,train,6000,83.88,66.2,98.0,1500.35,14.9,0.0,5.02,-1.32,6.64
onlinehd,train,6000,84.67,65.7,100.0,1500.4,15.1,0.0,5.01,-1.3,6.5
onlinehd,train,6000,85.45,65.2,99.5,1500.4,15.3,0.0,5.03,-1.31,6.5
onlinehd,train,6000,86.19,66.2,100.0,1500.35,15.4,0.0,5.05,-1.14,5.48
onlinehd,train,6000,86.88,65.2,96.4,1500.4,15.7,0.0,5.01,-1.33,6.87
onlinehd,train,6000,87.62,65.7,100.0,1500.35,15.9,0.0,5.03,-1.19,5.99
onlinehd,train,6000,88.33,66.2,99.5,1500.4,16.0,0.0,5.02,-1.33,6.78
onlinehd,train,6000,89.08,67.2,100.0,1500.4,16.2,0.0,5.02,-1.29,6.5
onlinehd,train,6000,89.82,67.6,100.0,1500.4,16.4,0.0,5.05,-1.11,5.62
onlinehd,train,6000,90.56,67.2,99.5,1500.4,16.6,0.0,5.01,-1.3,6.5
onlinehd,train,6000,91.3,66.2,100.0,1500.35,16.8,0.0,5.05,-1.4,6.96
onlinehd,train,6000,92.05,66.2,100.0,1500.4,16.9,0.0,5.0,-1.33,6.72
onlinehd,train,6000,92.84,67.6,100.0,1500.35,17.2,0.0,5.01,-1.29,6.44
onlinehd,train,6000,93.54,67.6,98.5,1500.4,17.4,0.0,5.02,-1.31,6.72
onlinehd,train,6000,94.28,67.6,99.5,1500.4,17.5,0.0,5.07,-1.02,5.2
onlinehd,train,6000,95.06,66.2,100.0,1500.35,17.7,0.0,5.01,-1.33,6.68
