model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
CNNE,test,10000,0.63,54.5,25.7,1500.35,18.4,0,5.15,+AC0-1.04,5.35
CNNE,test,10000,1.19,56.0,25.0,1500.35,18.5,0,5.16,+AC0-1.04,5.36
CNNE,test,10000,1.75,56.9,26.0,1500.35,18.5,0,5.15,+AC0-1,4.9
CNNE,test,10000,2.31,56.4,25.0,1500.35,18.5,0,5.16,+AC0-0.99,5.09
CNNE,test,10000,2.87,56.9,25.0,1500.4,18.5,0,5.15,+AC0-1.03,5.32
CNNE,test,10000,3.43,56.9,25.3,1500.4,18.5,0,5.15,+AC0-1.02,5.27
CNNE,test,10000,3.99,56.9,25.9,1500.35,18.5,0,5.15,+AC0-1.02,5.11
CNNE,test,10000,4.55,57.4,36.8,1500.35,18.5,0,5.15,+AC0-1.1,5.66
CNNE,test,10000,5.11,57.9,25.6,1500.4,18.5,0,5.15,+AC0-0.98,5.04
CNNE,test,10000,5.67,58.4,25.0,1500.4,18.5,0,5.15,+AC0-1,4.9
CNNE,test,10000,6.23,57.4,26.7,1500.4,18.5,0,5.15,+AC0-0.98,5.03
CNNE,test,10000,6.78,57.4,25.0,1500.35,18.5,0,5.16,+AC0-1.03,5.3
CNNE,test,10000,7.34,58.9,25.0,1500.35,18.5,0,5.15,+AC0-1.04,5.15
CNNE,test,10000,7.91,57.9,25.4,1500.4,18.4,0,5.14,+AC0-1.03,5.16
CNNE,test,10000,8.46,57.9,25.0,1500.35,18.4,0,5.16,+AC0-1.06,5.44
CNNE,test,10000,9.02,57.9,26.1,1500.4,18.4,0,5.15,+AC0-1.08,5.57
CNNE,test,10000,9.58,58.4,25.0,1500.35,18.4,0,5.15,+AC0-1.05,5.22
CNNE,test,10000,10.14,58.9,25.1,1500.35,18.4,0,5.15,+AC0-1.02,5.26
CNNE,test,10000,10.7,57.9,26.0,1500.35,18.4,0,5.15,+AC0-1.04,5.35
CNNE,test,10000,11.26,58.9,25.7,1500.35,18.4,0,5.16,+AC0-1.06,5.49
