model,mode,samples,realtive time(sec),temperature (Celcius),cpu load(pct),cpu freq(Hz),ram usage(pct),swap usage(pct),voltage,current,power
cnn,train,6000,0.68,56.4,27.3,1500.4,12.5,0.0,5.11,-0.92,4.71
cnn,train,6000,1.34,57.9,25.1,1500.4,12.6,0.0,5.11,-0.91,4.66
cnn,train,6000,1.98,57.4,35.3,1500.35,12.7,0.0,5.1,-0.89,4.29
cnn,train,6000,2.63,58.4,55.1,1500.4,13.2,0.0,5.07,-1.07,5.47
cnn,train,6000,3.43,58.9,88.7,1500.35,12.9,0.0,5.09,-0.95,4.86
cnn,train,6000,4.16,59.9,89.7,1500.35,13.1,0.0,5.07,-1.08,5.48
cnn,train,6000,4.96,61.3,86.7,1500.4,13.4,0.0,5.07,-1.09,5.54
cnn,train,6000,5.72,60.8,91.9,1500.4,13.0,0.0,5.07,-1.06,5.41
cnn,train,6000,6.5,60.8,86.9,1500.35,13.1,0.0,5.04,-1.24,6.25
cnn,train,6000,7.38,61.8,92.0,1500.35,13.0,0.0,5.06,-1.1,5.61
cnn,train,6000,8.23,62.3,89.1,1500.4,13.4,0.0,5.06,-1.17,5.9
cnn,train,6000,9.01,61.8,88.9,1500.35,13.0,0.0,5.06,-1.11,5.63
cnn,train,6000,9.83,61.3,87.6,1500.35,13.3,0.0,5.06,-1.14,5.79
cnn,train,6000,10.56,63.7,90.3,1500.35,13.4,0.0,5.06,-1.08,5.49
cnn,train,6000,11.33,62.3,88.8,1500.4,13.0,0.0,5.08,-1.07,5.43
cnn,train,6000,12.22,63.3,91.0,1500.4,13.0,0.0,5.06,-1.12,5.67
cnn,train,6000,12.97,64.2,89.4,1500.4,13.0,0.0,5.06,-1.1,5.2
cnn,train,6000,13.74,63.7,88.5,1500.35,13.4,0.0,5.06,-1.14,5.77
cnn,train,6000,14.57,65.2,90.7,1500.35,13.0,0.0,5.08,-0.87,4.45
cnn,train,6000,15.32,64.2,85.6,1500.35,13.1,0.0,5.1,-0.96,5.15
cnn,train,6000,16.11,64.2,88.2,1500.35,13.5,0.0,5.05,-1.15,5.84
cnn,train,6000,16.94,63.7,87.5,1500.35,13.0,0.0,5.1,-0.92,4.67
cnn,train,6000,17.71,64.7,86.9,1500.4,13.3,0.0,5.07,-1.09,5.54
cnn,train,6000,18.53,64.2,90.3,1500.4,13.2,0.0,5.08,-0.96,4.9
cnn,train,6000,19.35,63.7,86.4,1500.35,13.2,0.0,5.07,-1.05,5.21
cnn,train,6000,20.13,65.7,88.0,1500.35,13.5,0.0,5.07,-1.25,6.35
cnn,train,6000,20.89,64.2,89.3,1500.35,13.0,0.0,5.07,-0.98,4.97
cnn,train,6000,21.61,65.2,89.3,1500.4,13.1,0.0,5.1,-0.91,4.61
cnn,train,6000,22.4,64.7,86.5,1500.4,13.4,0.0,5.07,-1.15,5.82
cnn,train,6000,23.19,65.7,90.0,1500.4,13.1,0.0,5.08,-0.94,5.29
cnn,train,6000,23.95,65.2,89.6,1500.35,13.2,0.0,5.03,-1.24,6.22
cnn,train,6000,24.84,66.2,90.4,1500.35,12.9,0.0,5.07,-1.08,5.49
cnn,train,6000,25.57,66.7,89.5,1500.35,13.1,0.0,5.04,-1.16,5.85
cnn,train,6000,26.38,65.2,91.6,1500.35,13.1,0.0,5.09,-0.9,5.47
